CETCode,College,Location,Branch,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,,,,
E011,M V J College of Engineering," Kadugodi, Bengaluru",EC,71035,--,79799,75110,--,--,138415,--,--,53007,--,--,55752,--,78516,50695,112350,62672,139193,--,--,81489,--,--,,,,
E011,M V J College of Engineering," Kadugodi, Bengaluru",EE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,138046,--,--,--,--,--,--,--,--,,,,
E011,M V J College of Engineering," Kadugodi, Bengaluru",IE,40445,--,--,48804,--,63677,45212,--,--,40912,--,--,43967,--,--,39795,95923,47502,123268,--,--,95070,--,--,,,,
E011,M V J College of Engineering," Kadugodi, Bengaluru",ME,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,139530,--,--,--,--,--,--,--,--,,,,
E011,M V J College of Engineering," Kadugodi, Bengaluru",SE,75341,--,--,88554,--,--,92352,--,--,58405,--,--,60767,--,--,41987,59358,82923,111888,--,--,100785,--,--,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E012,Sir M.Visveswaraya Institute of Technology,"Hunasemaranahalli,Bengaluru",BT,47788,--,--,40777,--,70601,--,--,--,31580,--,--,32010,--,--,28312,47909,39271 110139,,--,--,51460,--,--,,,,
E012,Sir M.Visveswaraya Institute of Technology,"Hunasemaranahalli,Bengaluru",CE,49805,--,--,80911,--,--,54409,--,--,50005,--,--,58567,--,--,45182,63785,58043,64065,95256,--,--,--,64425,,,,
E012,Sir M.Visveswaraya Institute of Technology,"Hunasemaranahalli,Bengaluru",CS,13541,--,17503,9837,13062,12036,12134,--,--,6918,--,--,9106,--,13260,6882,9418,11175,40578,--,77158,13709,--,--,,,,
E012,Sir M.Visveswaraya Institute of Technology,"Hunasemaranahalli,Bengaluru",EC,11613,--,--,17089,--,24674,13717,--,56446,12265,--,--,15451,--,--,11333,25438,17729,45325 120540128449 23189,,,,--,--,,,,
E012,Sir M.Visveswaraya Institute of Technology,"Hunasemaranahalli,Bengaluru",EE,28502,--,--,45374,49456,55663,45967,--,--,33410,--,--,37780,--,42536,26939,36813,37962,62121,--,68063,57034,--,--,,,,
E012,Sir M.Visveswaraya Institute of Technology,"Hunasemaranahalli,Bengaluru",IE,12176,--,--,13627,--,--,21243,--,--,10522,--,18576,14910,35204,--,10513,13700,14225,65435,--,--,--,--,--,,,,
E012,Sir M.Visveswaraya Institute of Technology,"Hunasemaranahalli,Bengaluru",ME,120618,--,--,123907,--,--,109938,--,--,46135,--,127087 43646,,--,--,43421 134395 69376 115313,,,,--,--,58274,--,--,,,,
E012,Sir M.Visveswaraya Institute of Technology,"Hunasemaranahalli,Bengaluru",TC,--,--,--,57695,--,--,45748,--,--,39013,--,--,44602,--,--,35774,--,1.26505E+11,,--,--,87739,--,--,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E013,Ghousia Engineering College," Vijaya Nagar, Ramanagara",CE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,133803,--,--,--,--,--,--,--,--,,,,
E013,Ghousia Engineering College," Vijaya Nagar, Ramanagara",CS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,140346,--,--,--,--,--,--,--,--,,,,
E013,Ghousia Engineering College," Vijaya Nagar, Ramanagara",EC,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,135136,--,--,--,--,--,--,--,--,,,,
E013,Ghousia Engineering College," Vijaya Nagar, Ramanagara",EE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,
E013,Ghousia Engineering College," Vijaya Nagar, Ramanagara",ME,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E014,S J C Institute of Technology,"BB Rd, Chickaballapur",AE,68162,--,--,48073,--,56910,32293,--,--,48123,--,--,35913,--,--,29682,38057,36590,53430,--,65613,--,--,--,,,,
E014,S J C Institute of Technology,"BB Rd, Chickaballapur",CE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,140500,--,--,--,--,--,--,--,--,,,,
